,year,metro,id,sex,age,number,education,marriage,asset,debt,income,income_d,industry,job,house,education_year
0,2020,G1,10000112,1,34,3,6,2,112000,54500,6593,4599,F,3,2,16
1,2020,G1,10000132,2,45,2,8,2,42500,17500,17720,15257,J,2,3,21
2,2020,G1,10000162,2,73,1,2,3,5712,0,908,725,T,4,2,6
3,2020,G1,10000182,1,58,2,4,2,14870,0,2748,2431,C,5,2,12
4,2020,G1,10000192,2,27,1,4,1,814,0,1015,893,R,2,3,12
5,2020,G2,10000212,1,71,2,4,2,17524,300,4546,4420,,,1,12
6,2020,G2,10000222,1,52,1,4,1,7930,8000,2808,2443,C,9,1,12
7,2020,G2,10000232,2,52,3,6,2,27506,18000,6428,5071,Q,2,1,16
8,2020,G2,10000252,1,62,3,4,2,2160,800,7042,5948,N,7,3,12
9,2020,G2,10000262,2,66,2,4,2,57615,0,3805,3236,,,1,12
10,2020,G2,10000272,1,56,4,5,2,32425,0,11162,8111,O,3,1,14
11,2020,G2,10000282,1,59,5,2,2,104860,74700,5977,4153,C,8,1,6
12,2020,G1,10000312,1,50,5,6,2,82680,10,8096,7347,J,2,1,16
13,2020,G1,10000322,1,35,3,5,1,5366,1500,5461,4694,P,3,1,14
14,2020,G1,10000332,2,27,2,4,2,21035,13000,7963,6873,C,8,2,12
15,2020,G1,10000342,1,28,1,7,1,20050,200,5603,4782,C,3,2,18
16,2020,G1,10000352,2,65,1,4,3,25700,0,2947,2721,,,1,12
17,2020,G1,10000362,1,82,2,6,2,4900,0,13431,12680,H,3,5,16
18,2020,G1,10000372,2,59,4,4,2,14760,12000,8590,7470,I,4,3,12
19,2020,G1,10001102,1,35,1,5,1,5252,0,1089,1033,L,5,2,14
20,2020,G1,10600141,1,66,3,4,2,21848,5200,2695,1725,,,1,12
21,2020,G2,10600211,1,69,1,2,4,90,0,1563,1562,C,8,5,6
22,2020,G2,10600221,2,25,3,5,1,11360,1300,6014,5611,R,2,1,14
23,2020,G2,10600241,2,83,1,1,3,1220,0,851,838,,,3,0
24,2020,G2,10600271,1,56,3,5,2,68823,0,7264,5705,F,1,1,14
25,2020,G2,10600281,1,61,2,4,2,41322,6200,4441,3616,,,1,12
26,2020,G2,10600291,1,41,3,5,2,91856,500,9678,7947,M,3,1,14
27,2020,G1,10600331,1,47,5,8,2,103231,0,16884,14064,C,2,1,21
28,2020,G1,10600351,1,79,2,4,2,32150,0,1584,1519,,,1,12
29,2020,G1,10600371,2,59,3,3,2,150958,61281,13384,11148,G,5,5,9
30,2020,G1,10600381,2,54,3,2,2,37384,13,12987,10965,C,7,1,6
31,2020,G1,10601101,1,72,2,2,2,80000,400,2348,2305,,,1,6
32,2020,G1,10601111,1,44,6,4,2,720,1350,3033,3004,H,9,4,12
33,2020,G1,10601121,1,76,2,2,2,510,0,2793,2725,P,9,3,6
34,2020,G1,10700111,1,36,3,6,2,117080,21540,23294,16394,K,3,2,16
35,2020,G1,10700121,2,30,3,8,1,80190,2000,5607,5004,O,3,1,21
36,2020,G1,10700141,2,49,2,4,4,4448,2577,1830,1645,,,3,12
37,2020,G1,10700151,1,65,3,2,2,20794,8100,2479,2023,N,7,1,6
38,2020,G1,10700181,1,38,3,6,2,34154,20700,6260,4560,P,2,2,16
39,2020,G2,10700191,1,69,2,3,2,61230,1000,1455,1314,,,1,9
40,2020,G2,10700211,2,62,1,3,4,6890,0,1237,1175,I,4,1,9
41,2020,G2,10700221,2,80,1,1,3,119,0,705,704,,,5,0
42,2020,G2,10700231,2,52,3,4,4,23820,1100,6343,4955,M,3,1,12
43,2020,G2,10700241,1,66,2,2,2,29270,8,3951,3584,C,8,1,6
44,2020,G1,10700321,2,68,2,4,2,29416,0,4489,3931,Q,4,1,12
45,2020,G1,10700331,2,71,2,2,3,15100,0,1831,1756,,,1,6
46,2020,G1,10700341,1,47,5,6,2,118610,0,31304,24855,G,3,2,16
47,2020,G1,10700391,1,46,3,4,2,33135,15410,5661,4420,G,5,1,12
48,2020,G1,10701101,2,48,3,4,4,18602,150,1465,1126,G,5,2,12
49,2020,G1,10800111,1,50,4,6,2,128844,9120,13123,8909,J,2,1,16
50,2020,G1,10800161,2,25,2,6,1,18672,0,3044,2729,Q,2,2,16
51,2020,G1,10800181,1,45,3,7,2,162490,0,9672,7696,M,2,1,18
52,2020,G2,10800221,1,37,2,6,2,31676,13000,4398,3892,H,3,1,16
53,2020,G2,10800231,1,45,4,4,2,5146,2050,8917,8012,H,8,2,12
54,2020,G1,10800241,1,75,2,3,2,16360,0,1110,973,,,2,9
55,2020,G2,10800261,1,58,4,2,2,23045,2000,3085,2908,G,5,1,6
56,2020,G2,10800271,2,69,1,7,1,305000,20000,7818,6810,,,1,18
57,2020,G2,10800281,1,51,2,6,1,32400,0,6471,5582,C,2,2,16
58,2020,G1,10800321,1,50,1,4,4,896,356,1359,1252,,,3,12
59,2020,G1,10800341,1,62,4,3,2,27084,0,17498,15692,F,9,3,9
60,2020,G1,10800381,2,83,1,1,3,8020,0,765,736,O,9,2,0
61,2020,G1,10801101,1,58,4,4,2,24874,11300,4812,3796,F,7,1,12
62,2020,G1,10900111,1,50,4,6,2,293524,106000,29079,20340,J,3,2,16
63,2020,G1,10900121,2,48,2,4,4,26010,4000,4056,3469,C,7,1,12
64,2020,G1,10900131,2,56,1,4,1,14004,0,1435,1295,N,4,2,12
65,2020,G1,10900141,1,48,3,5,2,72260,24000,3188,2679,M,3,2,14
66,2020,G1,10900161,1,84,2,3,2,95800,0,2991,2546,,,1,9
67,2020,G1,10900171,2,43,1,5,1,9646,4,2920,2673,P,2,2,14
68,2020,G1,10900191,1,60,4,5,2,124791,3112,4101,3653,H,8,1,14
69,2020,G2,10900211,1,53,5,4,2,3125,2000,4940,4537,C,9,3,12
70,2020,G2,10900221,1,75,2,2,2,16066,0,2355,2227,,,1,6
71,2020,G2,10900251,2,26,1,6,1,8075,0,4417,3387,Q,2,2,16
72,2020,G2,10900271,1,72,1,2,3,4030,0,660,652,,,1,6
73,2020,G2,10900291,1,68,1,3,3,8725,0,3293,3272,F,9,1,9
74,2020,G1,10900311,1,66,3,4,2,79739,3000,6281,5183,C,9,1,12
75,2020,G1,10900331,1,69,2,3,2,16500,300,2869,2685,H,8,1,9
76,2020,G1,10900341,2,61,2,3,4,1364,0,2669,2205,Q,4,3,9
77,2020,G1,10900351,1,64,3,2,2,13550,9000,7818,7162,H,8,2,6
78,2020,G1,10900371,2,40,4,4,4,361,2182,3211,3204,S,4,3,12
79,2020,G1,10901101,2,44,1,4,1,5240,0,3273,2962,G,5,3,12
80,2020,G1,11000162,2,72,4,2,2,68105,0,4220,3436,,,1,6
81,2020,G1,11000172,2,32,3,4,4,4045,1560,5250,4431,S,3,3,12
82,2020,G1,11000192,2,67,3,6,3,356510,12000,9340,8448,,,1,16
83,2020,G2,11000202,2,50,1,3,4,10798,8050,1439,1256,,,2,9
84,2020,G2,11000232,1,60,3,8,2,43625,8600,1297,244,P,2,1,21
85,2020,G2,11000252,1,35,2,7,2,9472,5200,4076,3723,J,2,2,18
86,2020,G2,11000262,1,58,2,4,2,10000,0,3785,3398,C,3,1,12
87,2020,G2,11000272,2,43,3,4,1,8860,0,5068,4758,,,1,12
88,2020,G2,11000282,2,45,1,6,1,6360,0,428,383,,,2,16
89,2020,G2,11000292,2,39,4,4,2,78774,5750,10101,9240,I,5,1,12
90,2020,G1,11000302,1,54,5,6,2,99636,55500,12082,9365,O,3,2,16
91,2020,G1,11000312,2,38,4,4,2,23015,4500,6613,6294,K,5,1,12
92,2020,G1,11000322,2,51,3,4,2,2010,0,2139,2132,,,3,12
93,2020,G1,11000332,1,29,2,6,1,21878,8300,241,48,F,2,3,16
94,2020,G1,11000342,1,70,2,3,2,87240,0,3677,3344,G,5,1,9
95,2020,G1,11000352,1,66,3,6,2,172500,10500,10162,8728,C,2,1,16
96,2020,G1,11000362,1,77,1,4,4,1620,25,945,944,,,3,12
97,2020,G1,11000372,2,31,2,4,1,14200,8000,4397,4219,R,2,2,12
98,2020,G1,11000382,1,60,1,6,4,5960,0,3923,3822,,,3,16
99,2020,G1,11000392,1,69,3,2,2,41878,19200,9662,8680,,,2,6
100,2020,G1,11600111,2,28,1,6,1,27016,0,4326,3955,J,2,2,16
101,2020,G1,11600121,1,37,3,6,2,58860,18000,7852,6470,M,2,5,16
102,2020,G1,11600131,2,64,4,4,3,203777,70000,3619,3137,,,1,12
103,2020,G1,11600151,2,54,1,2,1,4640,262,1266,1256,,,3,6
104,2020,G1,11600181,1,64,2,3,2,36000,720,3765,3354,I,4,1,9
105,2020,G2,11600201,2,70,1,2,3,3600,0,784,780,,,1,6
106,2020,G2,11600211,1,57,4,4,2,7436,1800,3024,2634,,,1,12
107,2020,G2,11600221,1,63,3,4,2,84240,2650,17011,15613,H,8,1,12
108,2020,G2,11600231,2,53,3,6,2,23090,10694,9513,6937,K,5,1,16
109,2020,G2,11600261,1,67,2,4,2,28086,2380,2943,2791,,,1,12
110,2020,G2,11600281,1,40,4,4,2,14929,6000,9755,8505,F,7,1,12
111,2020,G2,11600291,1,62,2,4,2,21256,1738,3180,2525,C,8,1,12
112,2020,G1,11600311,1,70,2,3,2,56090,8000,3779,3544,I,5,1,9
113,2020,G1,11600381,1,72,2,7,2,146300,0,7380,6096,,,1,18
114,2020,G1,11700121,2,52,2,4,4,2880,2698,3287,2940,,,3,12
115,2020,G1,11700151,1,57,5,7,2,280420,72816,13612,10627,G,5,3,18
116,2020,G1,11700161,1,69,2,7,2,198660,20000,11990,11415,Q,2,1,18
117,2020,G1,11700171,1,62,3,2,2,56490,0,11192,9938,F,7,1,6
118,2020,G1,11700181,1,50,4,4,2,56326,2400,4936,4487,R,2,1,12
119,2020,G1,11700191,1,55,5,5,2,49254,1500,15481,12216,G,3,1,14
120,2020,G2,11700211,1,51,4,5,2,27008,3500,4514,3719,P,2,1,14
121,2020,G2,11700221,2,47,1,6,1,2404,0,654,654,,,3,16
122,2020,G2,11700241,1,60,1,3,4,130,1000,31,-216,F,9,3,9
123,2020,G2,11700271,2,68,2,2,2,3145,1425,3004,2773,I,9,3,6
124,2020,G2,11700281,1,70,2,4,2,171400,2050,4297,3349,,,1,12
125,2020,G1,11700311,1,47,1,4,4,1430,160,3334,2458,G,3,3,12
126,2020,G1,11700371,1,75,1,3,3,6300,0,1296,1292,,,2,9
127,2020,G1,11800131,2,71,1,3,3,60120,1200,1217,1176,,,1,9
128,2020,G1,11800151,2,27,1,4,1,11265,14,2467,2253,P,3,2,12
129,2020,G2,11800201,1,56,4,6,2,18981,9580,6745,5881,F,7,1,16
130,2020,G2,11800231,1,40,3,5,2,60455,27550,4083,1805,C,3,1,14
131,2020,G2,11800241,2,65,2,6,2,178700,78355,9817,6780,,,1,16
132,2020,G2,11800251,1,73,2,2,2,165255,5000,5782,5059,,,1,6
133,2020,G2,11800261,2,48,3,6,2,138370,2000,10414,8566,P,2,1,16
134,2020,G2,11800271,2,30,1,6,1,17920,5000,3756,3032,O,4,2,16
135,2020,G2,11800281,2,84,1,1,3,56500,750,1404,1337,,,1,0
136,2020,G1,11800301,1,63,2,3,2,1220,930,3988,3832,F,7,3,9
137,2020,G1,11800341,2,59,3,4,3,56368,4000,6848,5897,I,9,1,12
138,2020,G1,11800351,1,44,3,6,2,82360,21500,8703,6389,J,2,1,16
139,2020,G1,11800371,1,78,1,6,3,97280,0,4034,3654,,,1,16
140,2020,G1,11800381,2,55,1,4,3,16096,0,2168,2075,J,5,2,12
141,2020,G1,11900151,1,75,1,4,3,3800,0,822,779,,,3,12
142,2020,G1,11900161,2,50,2,4,4,36200,50,2650,2465,,,2,12
143,2020,G1,11900171,1,65,2,2,2,62992,14158,20881,20072,F,7,1,6
144,2020,G2,11900211,2,57,1,3,4,36600,2800,3290,3078,O,3,2,9
145,2020,G2,11900221,2,79,1,2,4,548,0,720,710,,,5,6
146,2020,G2,11900231,2,48,3,4,4,13120,2700,4437,3851,P,9,1,12
147,2020,G2,11900241,1,65,3,3,2,35040,5040,5047,4675,Q,9,1,9
148,2020,G2,11900251,1,51,1,4,4,952,10800,2006,1999,N,9,3,12
149,2020,G2,11900261,2,68,1,2,3,7620,0,717,710,,,1,6
150,2020,G2,11900271,1,41,4,4,2,18685,0,3538,3014,F,7,1,12
151,2020,G2,11900281,1,52,3,4,2,56880,0,7565,6510,P,8,1,12
152,2020,G2,11900291,1,59,3,6,2,137430,73400,8470,4190,,,2,16
153,2020,G1,11900341,1,39,2,4,2,34758,0,7910,6731,J,3,2,12
154,2020,G1,11900371,1,64,3,6,3,178820,0,10584,9438,F,9,1,16
155,2020,G1,11900381,2,24,1,4,1,2940,0,2200,1156,G,3,2,12
156,2020,G1,11900391,1,88,2,1,2,36000,3000,4253,3967,,,1,0
157,2020,G1,12000102,1,30,1,6,1,540,0,2004,1812,G,5,3,16
158,2020,G1,12000112,1,57,1,5,4,4225,7635,5100,3894,K,3,3,14
159,2020,G1,12000122,1,53,3,6,2,91923,0,6480,5103,,,1,16
160,2020,G1,12000132,2,47,3,4,2,7690,2100,3620,3444,I,4,2,12
161,2020,G1,12000152,1,46,2,6,1,27900,5060,4779,4020,C,3,1,16
162,2020,G1,12000182,1,85,5,4,3,935,4900,4198,4083,O,9,3,12
163,2020,G1,12000192,1,50,3,6,2,85201,0,7297,6170,K,2,1,16
164,2020,G2,12000202,2,51,2,4,3,19745,2600,1821,1412,G,5,1,12
165,2020,G2,12000212,2,52,3,4,4,26818,0,6205,5867,S,7,1,12
166,2020,G2,12000222,1,80,2,4,2,5440,0,1094,1093,,,3,12
167,2020,G2,12000242,1,59,3,4,2,1400,100,5587,5197,N,9,3,12
168,2020,G2,12000252,1,49,2,4,1,24600,0,4241,3738,S,7,1,12
169,2020,G2,12000262,2,44,1,6,1,48845,0,1395,1266,G,2,2,16
170,2020,G2,12000272,1,61,2,2,2,15030,0,3912,3483,,,1,6
171,2020,G2,12000292,1,71,1,4,4,300,0,392,380,,,3,12
172,2020,G1,12000312,1,50,2,6,1,91622,2500,4567,4079,N,8,1,16
173,2020,G1,12000322,2,62,3,3,4,64958,0,1726,1655,,,2,9
174,2020,G1,12000332,2,62,1,4,4,31368,0,2251,1973,,,1,12
175,2020,G1,12000352,1,65,2,6,2,210600,23000,2566,1411,,,1,16
176,2020,G1,12000372,1,75,2,6,2,13235,1774,2259,1992,,,1,16
177,2020,G1,12000392,1,43,4,4,2,12010,10540,20291,13686,C,9,1,12
178,2020,G1,12600111,1,73,2,3,2,49320,11080,1470,1316,,,1,9
179,2020,G1,12600121,1,75,3,4,2,70740,32000,5930,5663,,,2,12
180,2020,G1,12600131,1,34,3,7,2,52580,16050,4596,3506,J,5,1,18
181,2020,G1,12600151,2,79,1,2,3,16350,0,964,937,,,1,6
182,2020,G1,12600181,2,44,3,3,4,390,2000,2122,2121,,,3,9
183,2020,G1,12600191,1,60,3,5,2,55440,17500,10599,9035,F,7,1,14
184,2020,G2,12600201,1,46,2,5,2,39140,20572,4801,3976,H,8,1,14
185,2020,G2,12600211,1,46,5,5,2,30165,1700,6101,5457,C,3,1,14
186,2020,G2,12600221,2,58,3,4,2,49620,4000,8663,8277,G,5,1,12
187,2020,G2,12600241,1,60,3,4,2,62476,1600,18197,15797,O,7,1,12
188,2020,G2,12600261,2,79,1,2,3,2530,0,752,751,,,2,6
189,2020,G2,12600291,1,45,4,8,2,64590,4800,15395,11696,C,2,1,21
190,2020,G1,12600311,1,36,1,6,1,1500,6280,5802,3959,C,2,3,16
191,2020,G1,12600321,2,31,1,6,1,1610,0,3032,1197,J,2,5,16
192,2020,G1,12600331,2,48,1,3,1,453,2500,801,801,,,3,9
193,2020,G1,12600351,1,57,3,4,2,50220,13460,6939,5834,H,8,1,12
194,2020,G1,12600371,2,82,1,1,3,530,0,806,805,,,3,0
195,2020,G1,12600381,1,49,3,6,4,29427,8500,5003,4692,P,2,2,16
196,2020,G1,12600391,2,58,2,5,2,1988,1000,2489,2331,,,3,14
197,2020,G1,12700101,2,75,1,6,3,85490,10000,1371,-211,,,1,16
198,2020,G1,12700151,1,77,2,5,2,29060,0,1584,1277,,,1,14
199,2020,G1,12700181,2,58,4,8,3,429380,10000,59295,45262,Q,2,1,21
200,2020,G2,12700221,1,56,4,7,2,102929,8500,15427,12943,G,3,2,18
201,2020,G2,12700231,2,67,1,2,3,15366,0,3733,3305,C,9,1,6
202,2020,G2,12700241,2,69,2,2,2,7279,0,1593,1463,N,9,1,6
203,2020,G2,12700251,1,40,1,5,1,5948,4592,1802,767,C,5,3,14
204,2020,G2,12700281,1,41,4,6,2,16690,7914,4625,3876,G,9,1,16
205,2020,G2,12700291,1,52,4,4,2,32436,0,6351,5464,H,8,1,12
206,2020,G1,12700331,1,63,2,3,2,24810,1300,4427,3515,H,8,3,9
207,2020,G1,12700341,1,48,3,6,2,17500,11030,797,228,F,7,2,16
208,2020,G1,12700361,1,61,2,3,2,31020,10076,3519,2516,,,2,9
209,2020,G1,12700371,1,45,3,6,2,61164,8580,8252,6229,M,2,1,16
210,2020,G1,12800111,1,45,5,6,2,74350,0,3552,3147,J,2,2,16
211,2020,G1,12800121,1,44,5,7,2,41874,0,14579,9154,S,2,1,18
212,2020,G1,12800131,1,57,4,4,2,5330,0,5406,5190,G,9,2,12
213,2020,G1,12800181,1,68,2,2,2,27620,7850,6439,6005,,,1,6
214,2020,G1,12800191,1,27,5,4,2,36370,2000,5759,5448,H,9,1,12
215,2020,G2,12800201,1,50,4,4,2,31090,7400,11467,9751,F,3,1,12
216,2020,G2,12800211,1,46,4,4,2,10800,6740,5504,4770,H,8,3,12
217,2020,G2,12800241,1,59,5,2,2,22860,9805,8059,6444,C,5,1,6
218,2020,G2,12800251,1,60,3,5,2,59678,21000,9362,8325,C,9,1,14
219,2020,G2,12800261,2,59,2,4,3,23219,5000,3913,3468,S,4,1,12
220,2020,G2,12800271,1,72,1,1,3,660,0,1744,1728,,,3,0
221,2020,G2,12800281,1,60,3,4,2,37190,0,4468,4149,H,8,1,12
222,2020,G2,12800291,1,71,2,6,2,50400,0,8982,7830,M,2,1,16
223,2020,G1,12800311,1,54,3,8,2,14570,9500,4865,4305,P,2,2,21
224,2020,G1,12800321,2,59,1,6,1,46650,22600,6358,4227,C,3,1,16
225,2020,G1,12800351,1,48,1,6,1,69300,0,1324,1094,,,1,16
226,2020,G1,12800361,2,72,1,3,2,45000,2000,1084,1061,,,2,9
227,2020,G1,12800381,1,40,3,4,2,6042,1090,2275,2049,J,2,3,12
228,2020,G1,12900101,1,39,4,6,2,66110,16000,10715,8133,F,3,1,16
229,2020,G1,12900121,2,55,3,6,4,6200,0,3498,3151,P,2,3,16
230,2020,G1,12900131,1,62,3,6,2,69610,0,3318,2829,,,1,16
231,2020,G1,12900151,1,58,4,3,2,25460,14100,8616,8176,F,9,2,9
232,2020,G1,12900161,1,55,2,4,3,73722,0,4361,4085,R,9,1,12
233,2020,G1,12900171,1,48,4,6,2,19910,37660,10306,6778,K,3,2,16
234,2020,G1,12900181,2,79,1,1,3,33030,15000,777,762,,,2,0
235,2020,G2,12900211,1,68,2,4,2,221531,4100,4033,2844,L,1,1,12
236,2020,G2,12900221,1,72,2,4,2,42400,13850,1505,1339,,,1,12
237,2020,G2,12900241,1,51,1,4,1,5696,0,834,683,C,7,3,12
238,2020,G2,12900251,1,39,2,6,2,27050,0,8077,7007,C,2,2,16
239,2020,G2,12900271,1,75,2,2,2,11890,0,2876,2804,H,8,5,6
240,2020,G1,12900321,1,60,1,3,4,9612,3380,3491,3146,C,8,2,9
241,2020,G1,12900331,1,60,2,4,2,48508,14800,5816,4949,H,8,1,12
242,2020,G1,12900341,1,53,4,5,2,72485,34280,14809,11227,O,3,1,14
243,2020,G1,12900351,1,63,4,2,2,38718,0,7669,7088,F,9,1,6
244,2020,G1,12900391,1,46,4,6,2,157923,68900,12400,8849,O,4,2,16
245,2020,G1,13000102,1,50,4,7,2,97456,13588,9562,7705,J,2,1,18
246,2020,G1,13000112,1,52,3,4,2,36680,0,6726,6088,G,2,1,12
247,2020,G1,13000122,2,46,2,5,4,44190,0,1528,937,K,5,1,14
248,2020,G1,13000132,1,49,2,4,1,30600,0,3846,3669,L,3,1,12
249,2020,G1,13000142,1,53,4,4,2,33768,7000,5690,4953,H,9,1,12
250,2020,G1,13000152,2,41,2,4,1,36660,16650,5730,4487,S,4,1,12
251,2020,G1,13000162,2,57,1,2,4,20420,4880,2432,2115,I,4,1,6
252,2020,G1,13000182,1,54,3,6,2,41325,0,11986,9765,P,2,1,16
253,2020,G1,13000192,1,59,2,2,2,75755,0,2167,1918,H,8,1,6
254,2020,G2,13000222,1,41,4,4,2,49430,14670,5424,4833,H,8,1,12
255,2020,G2,13000232,1,55,2,6,2,9270,0,6290,5317,G,9,3,16
256,2020,G2,13000252,1,62,1,5,4,5190,300,2571,2458,F,7,3,14
257,2020,G2,13000262,1,40,4,4,2,53730,37200,9079,6715,C,8,1,12
258,2020,G2,13000272,1,26,1,5,1,3656,2400,2439,2077,C,2,3,14
259,2020,G1,13000302,1,65,2,3,2,12316,0,2522,2426,,,1,9
260,2020,G1,13000332,1,82,3,2,2,20350,6720,2886,2591,,,1,6
261,2020,G1,13000342,1,72,2,4,2,38018,0,1160,1136,,,1,12
262,2020,G1,13000352,1,34,1,6,1,12412,0,4001,3790,K,5,1,16
263,2020,G1,13000382,2,61,3,4,2,10050,916,1796,1665,I,9,2,12
264,2020,G1,13600101,2,72,1,6,3,60570,54000,1125,1000,Q,4,5,16
265,2020,G1,13600131,1,36,3,5,2,37818,16600,6451,5425,G,2,2,14
266,2020,G1,13600141,1,50,3,4,2,16200,4400,4384,3616,N,9,1,12
267,2020,G1,13600151,2,65,1,4,3,16100,0,2037,1965,I,9,1,12
268,2020,G1,13600181,1,67,2,4,2,65720,2000,3128,2701,,,1,12
269,2020,G1,13600191,1,83,2,6,2,40550,27000,1111,1020,,,1,16
270,2020,G2,13600201,2,60,2,3,2,56733,1500,2188,1943,,,1,9
271,2020,G2,13600211,1,72,2,6,2,59720,0,4198,3831,,,1,16
272,2020,G2,13600221,1,57,4,8,2,786540,60000,68821,41696,M,2,1,21
273,2020,G2,13600241,1,49,3,4,3,1868,0,3763,3526,N,9,3,12
274,2020,G2,13600261,1,38,3,6,2,56949,7100,18882,13504,D,2,2,16
275,2020,G1,13600301,2,77,1,2,3,30010,0,827,553,P,4,1,6
276,2020,G1,13600321,1,52,3,6,2,69520,28050,11653,8411,C,7,2,16
277,2020,G1,13600331,1,81,2,3,2,7398,0,1113,1112,,,2,9
278,2020,G1,13600351,1,38,5,6,2,16595,12700,4362,3471,K,3,3,16
279,2020,G1,13600361,1,58,3,4,2,39578,10700,6518,5905,F,7,1,12
280,2020,G1,13700141,2,50,3,6,4,2476,120,2960,2954,I,4,3,16
281,2020,G1,13700151,1,70,2,2,2,13800,1950,843,661,,,1,6
282,2020,G1,13700161,2,49,2,4,4,21115,7600,6805,5601,K,3,1,12
283,2020,G1,13700171,1,78,1,5,3,5,0,513,512,,,5,14
284,2020,G1,13700191,1,73,1,3,3,60330,0,1327,1201,,,1,9
285,2020,G2,13700201,1,38,4,6,2,2968,0,2316,1941,M,3,3,16
286,2020,G2,13700221,1,72,2,4,2,33092,0,3043,2934,,,1,12
287,2020,G2,13700231,1,67,2,4,2,91200,690,8971,7617,H,2,2,12
288,2020,G2,13700241,1,39,4,6,2,23800,9950,4515,3549,C,3,1,16
289,2020,G2,13700251,1,61,3,4,2,46200,1000,7305,6181,,,2,12
290,2020,G2,13700261,1,52,2,5,4,320,680,2812,2796,S,8,3,14
291,2020,G2,13700271,1,44,5,6,2,2327,1080,3234,2771,F,3,3,16
292,2020,G1,13700311,1,49,2,4,4,28100,9000,6614,5964,F,7,2,12
293,2020,G1,13700341,1,37,1,4,1,510,950,4080,3440,F,7,4,12
294,2020,G1,13700351,1,41,5,4,2,187570,123290,7317,4809,E,9,1,12
295,2020,G1,13700361,1,39,2,5,2,27499,9940,11757,9906,R,2,1,14
296,2020,G1,13700381,1,63,1,1,1,103,600,856,819,,,3,0
297,2020,G1,13700391,1,40,1,4,1,18942,8140,2581,1939,C,8,1,12
298,2020,G1,13800101,2,61,2,4,2,42500,13850,5974,5469,Q,2,1,12
299,2020,G1,13800111,2,28,1,5,1,5701,2200,2968,2483,J,3,3,14
300,2020,G1,13800121,1,66,2,2,2,17760,3850,5628,5298,F,7,1,6
301,2020,G1,13800131,2,41,1,8,1,3750,0,1285,1243,J,3,2,21
302,2020,G1,13800141,1,67,3,3,2,50292,60,3086,2830,,,1,9
303,2020,G1,13800151,1,52,4,5,2,22300,4000,3447,2925,C,7,2,14
304,2020,G1,13800161,1,45,4,5,2,45614,24830,5262,3999,N,3,1,14
305,2020,G1,13800171,1,36,3,4,2,70000,0,14262,11082,I,1,1,12
306,2020,G1,13800181,1,36,1,4,1,2240,600,3196,2731,C,8,3,12
307,2020,G2,13800201,2,60,3,4,4,19700,5920,5491,4638,,,1,12
308,2020,G2,13800221,1,50,3,5,2,44138,9400,7488,5697,C,7,2,14
309,2020,G2,13800231,1,53,3,4,2,87380,29000,7726,7005,H,8,1,12
310,2020,G2,13800241,2,68,1,5,4,1155,2376,2420,2263,,,3,14
311,2020,G2,13800251,1,65,2,4,2,53520,0,3097,2794,,,1,12
312,2020,G2,13800261,2,58,2,5,3,24310,2000,2629,2438,,,1,14
313,2020,G1,13800301,1,42,5,6,2,97360,41760,8529,7268,F,3,1,16
314,2020,G1,13800311,1,53,4,6,2,74589,23800,7966,4914,C,3,2,16
315,2020,G1,13800331,2,61,1,3,3,20,0,600,599,,,5,9
316,2020,G1,13800341,1,59,2,2,2,20880,0,5908,5012,H,8,1,6
317,2020,G1,13800351,2,60,3,3,2,17160,8662,3663,2930,I,4,1,9
318,2020,G1,13800361,1,71,2,7,2,36620,14400,4313,3643,,,1,18
319,2020,G1,13800381,1,87,2,6,2,67150,2000,3058,2587,,,1,16
320,2020,G1,13900101,1,78,2,3,2,67200,4500,3441,3354,N,9,1,9
321,2020,G1,13900131,2,73,1,4,3,35420,0,960,932,P,9,1,12
322,2020,G1,13900151,1,38,3,4,2,16851,10200,6666,5402,G,1,2,12
323,2020,G1,13900181,1,63,4,4,2,31020,0,7730,7340,H,9,2,12
324,2020,G2,13900201,1,68,2,4,2,3540,0,701,677,,,3,12
325,2020,G2,13900211,1,46,2,4,2,6272,1850,4353,3792,F,3,3,12
326,2020,G2,13900241,1,41,4,5,2,93030,20000,12164,10669,C,8,1,14
327,2020,G2,13900251,1,76,2,3,2,21638,0,1693,1589,H,8,1,9
328,2020,G1,13900301,1,75,1,3,4,3265,0,1977,1923,N,9,2,9
329,2020,G1,13900311,1,57,3,8,2,987,0,5290,4646,S,2,5,21
330,2020,G1,13900321,1,66,1,3,4,7372,510,1061,927,,,2,9
331,2020,G1,13900341,1,40,3,4,2,15015,2100,3843,2889,H,9,2,12
332,2020,G1,13900351,2,40,1,4,1,180,0,1748,1703,N,9,3,12
333,2020,G1,13900381,1,51,4,3,2,1123,20200,6179,5922,C,7,3,9
334,2020,G1,13900391,1,51,3,6,2,50762,20000,4868,3929,G,5,1,16
335,2020,G1,14000102,1,60,2,3,2,13510,0,1296,1045,H,8,1,9
336,2020,G1,14000112,1,41,4,5,2,56760,3000,12577,10105,G,5,1,14
337,2020,G1,14000122,1,39,4,6,2,168126,22300,15772,12137,M,2,1,16
338,2020,G1,14000142,2,38,1,7,1,11282,15300,9767,7585,F,2,3,18
339,2020,G1,14000152,1,41,4,5,2,177572,62000,10265,7579,C,3,1,14
340,2020,G1,14000172,2,25,1,6,1,779,600,1160,1082,M,2,3,16
341,2020,G1,14000182,1,62,2,4,2,2530,6059,8219,7689,F,7,3,12
